epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,56.4186,0.40374,0.31502,0.87385,0.99817,1,0.995,0.94515,0.34102,0.24948,0.82311,0.00119137,0.00119137,0.00119137
45,57.6537,0.41579,0.31829,0.88076,0.99791,1,0.995,0.94846,0.34395,0.24582,0.82829,0.00118585,0.00118585,0.00118585
46,58.8946,0.39202,0.31122,0.86222,0.9979,1,0.995,0.93421,0.38121,0.27322,0.8474,0.00118032,0.00118032,0.00118032
47,60.2684,0.38831,0.30905,0.86201,0.99827,1,0.995,0.94605,0.34933,0.24829,0.83881,0.00117479,0.00117479,0.00117479
48,61.5482,0.392,0.30341,0.87218,0.99803,1,0.995,0.94745,0.32401,0.22667,0.8325,0.00116927,0.00116927,0.00116927
49,62.8026,0.3787,0.29977,0.86012,0.99811,1,0.995,0.94674,0.33388,0.22585,0.83615,0.00116374,0.00116374,0.00116374
50,64.1558,0.37856,0.2908,0.87434,0.99808,1,0.995,0.95323,0.32467,0.21694,0.8287,0.00115822,0.00115822,0.00115822
51,65.3824,0.38556,0.29503,0.86983,0.99808,1,0.995,0.94212,0.34468,0.21953,0.82768,0.00115269,0.00115269,0.00115269
52,66.6161,0.36206,0.27854,0.86631,0.99828,1,0.995,0.94626,0.32186,0.21446,0.83144,0.00114716,0.00114716,0.00114716
53,67.8462,0.37969,0.29055,0.86761,0.99809,1,0.995,0.94761,0.32931,0.21536,0.83249,0.00114164,0.00114164,0.00114164
54,69.0815,0.37975,0.28983,0.86193,0.99742,1,0.995,0.94783,0.32842,0.2157,0.82922,0.00113611,0.00113611,0.00113611
55,70.4157,0.37297,0.28008,0.87012,0.99814,1,0.995,0.95249,0.33014,0.22444,0.83876,0.00113058,0.00113058,0.00113058
56,71.6868,0.37804,0.28453,0.86846,0.99803,1,0.995,0.95155,0.31266,0.21304,0.82287,0.00112506,0.00112506,0.00112506
57,72.9218,0.36672,0.28325,0.86025,0.99777,1,0.995,0.95846,0.29952,0.19957,0.81927,0.00111953,0.00111953,0.00111953
58,74.2442,0.3917,0.28972,0.8674,0.99855,1,0.995,0.9446,0.34312,0.22673,0.83427,0.00111401,0.00111401,0.00111401
59,75.5792,0.37851,0.28136,0.86351,0.99758,1,0.995,0.94871,0.32714,0.21735,0.82511,0.00110848,0.00110848,0.00110848
60,76.8228,0.38741,0.28374,0.87381,0.99804,1,0.995,0.94488,0.33763,0.22358,0.82938,0.00110295,0.00110295,0.00110295
61,78.043,0.37472,0.28069,0.85827,0.99805,1,0.995,0.95326,0.31683,0.21635,0.82355,0.00109743,0.00109743,0.00109743
62,79.2848,0.37373,0.27415,0.85552,0.99807,1,0.995,0.95156,0.3196,0.21,0.82391,0.0010919,0.0010919,0.0010919
63,80.5118,0.37324,0.2776,0.86691,0.99823,1,0.995,0.95318,0.30718,0.20969,0.82812,0.00108637,0.00108637,0.00108637
64,81.7453,0.36925,0.27183,0.86079,0.99808,1,0.995,0.94828,0.31565,0.21109,0.82907,0.00108085,0.00108085,0.00108085
65,82.9683,0.35999,0.26814,0.85765,0.99845,1,0.995,0.95195,0.31064,0.20154,0.82536,0.00107532,0.00107532,0.00107532
66,84.256,0.36942,0.26594,0.85861,0.99822,1,0.995,0.95263,0.31602,0.20058,0.82681,0.0010698,0.0010698,0.0010698
67,85.6217,0.36006,0.26153,0.86779,0.99827,1,0.995,0.95393,0.32287,0.20108,0.83119,0.00106427,0.00106427,0.00106427
68,86.8701,0.39263,0.27071,0.87353,0.99833,1,0.995,0.94151,0.34717,0.21764,0.84717,0.00105874,0.00105874,0.00105874
69,88.1946,0.38683,0.27738,0.8673,0.99796,1,0.995,0.95516,0.32166,0.20901,0.82734,0.00105322,0.00105322,0.00105322
70,89.4454,0.37019,0.26863,0.85982,0.99783,1,0.995,0.93935,0.3728,0.21396,0.84125,0.00104769,0.00104769,0.00104769
71,90.824,0.37381,0.26522,0.86458,0.99801,1,0.995,0.9522,0.31238,0.20787,0.82474,0.00104217,0.00104217,0.00104217
72,92.1025,0.37139,0.26718,0.86131,0.99855,1,0.995,0.95012,0.3341,0.20192,0.8334,0.00103664,0.00103664,0.00103664
73,93.3707,0.37036,0.26404,0.8595,0.99829,1,0.995,0.95472,0.33319,0.19501,0.83256,0.00103111,0.00103111,0.00103111
74,94.6311,0.38191,0.26454,0.86953,0.99776,1,0.995,0.95143,0.33972,0.20631,0.83942,0.00102559,0.00102559,0.00102559
75,95.8885,0.35759,0.25831,0.86201,0.99802,1,0.995,0.95708,0.32689,0.213,0.83609,0.00102006,0.00102006,0.00102006
76,97.1478,0.36514,0.26578,0.86588,0.99731,1,0.995,0.95606,0.32623,0.21249,0.82995,0.00101453,0.00101453,0.00101453
77,98.4017,0.34711,0.25496,0.85635,0.99795,1,0.995,0.95934,0.3134,0.20583,0.8249,0.00100901,0.00100901,0.00100901
78,99.7837,0.37463,0.25461,0.86327,0.99843,1,0.995,0.94952,0.3187,0.2053,0.82383,0.00100348,0.00100348,0.00100348
79,101.061,0.34861,0.25277,0.85995,0.99832,1,0.995,0.94738,0.34164,0.20552,0.83276,0.000997956,0.000997956,0.000997956
80,102.311,0.3792,0.26735,0.87083,0.99835,1,0.995,0.94942,0.32837,0.20047,0.82924,0.000992429,0.000992429,0.000992429
