epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.07546,0.84512,2.75444,1.03402,0.01003,1,0.6425,0.52803,0.62826,2.36567,0.79929,0.00024293,0.00024293,0.00024293
2,3.20847,0.60058,1.05676,0.88648,0.99043,0.66667,0.74237,0.61279,0.65392,1.85259,0.81117,0.000495199,0.000495199,0.000495199
3,4.34255,0.55811,0.76056,0.87778,0.99415,0.6642,0.98319,0.87445,0.46555,1.88456,0.80481,0.000742374,0.000742374,0.000742374
4,5.46399,0.53624,0.72577,0.87618,0.98902,0.66656,0.98,0.8883,0.42775,1.77352,0.81292,0.000984457,0.000984457,0.000984457
5,6.70848,0.53283,0.66208,0.87354,0.97365,0.81663,0.995,0.90009,0.47815,1.27015,0.8507,0.00122145,0.00122145,0.00122145
6,8.05706,0.49103,0.58714,0.86025,0.9942,1,0.995,0.90768,0.43569,0.92185,0.84762,0.00135826,0.00135826,0.00135826
7,9.366,0.509,0.57935,0.861,0.99553,1,0.995,0.90593,0.41346,0.60249,0.84431,0.00134412,0.00134412,0.00134412
8,10.6933,0.477,0.54985,0.8657,0.99514,1,0.995,0.92481,0.42385,0.4864,0.88003,0.00132997,0.00132997,0.00132997
9,11.9645,0.47401,0.53526,0.86235,0.98862,1,0.995,0.89905,0.43961,0.5182,0.86467,0.00131582,0.00131582,0.00131582
10,13.435,0.45841,0.50307,0.86214,0.99502,1,0.995,0.9233,0.38288,0.48242,0.84184,0.00130168,0.00130168,0.00130168
11,14.7293,0.46831,0.50047,0.86692,0.99813,1,0.995,0.92795,0.38193,0.42078,0.86013,0.00128753,0.00128753,0.00128753
12,16.0455,0.44019,0.46449,0.86475,0.99716,1,0.995,0.93939,0.37438,0.38296,0.85814,0.00127338,0.00127338,0.00127338
13,17.3665,0.46882,0.45272,0.87591,0.99836,1,0.995,0.92732,0.37118,0.36209,0.86675,0.00125923,0.00125923,0.00125923
14,18.8437,0.44839,0.44861,0.86671,0.99855,1,0.995,0.93174,0.37598,0.3387,0.86885,0.00124509,0.00124509,0.00124509
15,20.0733,0.44458,0.41583,0.85952,0.99841,1,0.995,0.94542,0.3447,0.33244,0.85896,0.00123094,0.00123094,0.00123094
16,21.3478,0.43101,0.42027,0.86139,0.99875,1,0.995,0.94093,0.34838,0.30754,0.85671,0.00121679,0.00121679,0.00121679
17,22.5596,0.4091,0.38744,0.85266,0.99757,1,0.995,0.93631,0.34609,0.28187,0.86731,0.00120265,0.00120265,0.00120265
18,23.9489,0.41258,0.3855,0.85936,0.99812,1,0.995,0.94607,0.32471,0.26926,0.85684,0.0011885,0.0011885,0.0011885
19,25.055,0.40479,0.37458,0.86036,0.99789,1,0.995,0.93245,0.34607,0.29667,0.86866,0.00117435,0.00117435,0.00117435
20,26.2842,0.41069,0.36722,0.86025,0.99775,1,0.995,0.9456,0.33865,0.26859,0.86502,0.00116021,0.00116021,0.00116021
21,27.5458,0.42663,0.36445,0.87153,0.99642,1,0.995,0.929,0.3856,0.28264,0.87414,0.00114606,0.00114606,0.00114606
22,28.9279,0.39987,0.35319,0.85898,0.99777,1,0.995,0.9405,0.33622,0.26305,0.86071,0.00113191,0.00113191,0.00113191
23,30.1561,0.39474,0.33031,0.85402,0.99797,1,0.995,0.946,0.32086,0.24133,0.86184,0.00111776,0.00111776,0.00111776
24,31.4127,0.38726,0.33269,0.85934,0.99725,1,0.995,0.94199,0.33853,0.23797,0.86519,0.00110362,0.00110362,0.00110362
25,32.674,0.37901,0.32001,0.84946,0.99752,1,0.995,0.93736,0.34719,0.24821,0.86777,0.00108947,0.00108947,0.00108947
26,34.0847,0.38871,0.32624,0.8572,0.99743,1,0.995,0.94591,0.33631,0.25774,0.85977,0.00107532,0.00107532,0.00107532
27,35.2482,0.38886,0.31306,0.8617,0.99754,1,0.995,0.93797,0.35909,0.24224,0.86505,0.00106118,0.00106118,0.00106118
28,36.4831,0.38999,0.31096,0.85918,0.99784,1,0.995,0.94776,0.33819,0.25102,0.85717,0.00104703,0.00104703,0.00104703
29,37.7419,0.38095,0.30547,0.85131,0.99819,1,0.995,0.95583,0.32434,0.22274,0.8617,0.00103288,0.00103288,0.00103288
30,39.1406,0.40039,0.31569,0.87085,0.99807,1,0.995,0.95172,0.32042,0.23761,0.8603,0.00101873,0.00101873,0.00101873
31,40.3367,0.39128,0.29819,0.85829,0.99764,1,0.995,0.93837,0.39562,0.25886,0.87921,0.00100459,0.00100459,0.00100459
32,41.5735,0.38411,0.29102,0.86887,0.99626,0.99977,0.995,0.94246,0.35633,0.27925,0.86806,0.00099044,0.00099044,0.00099044
33,42.8592,0.37942,0.29024,0.8615,0.99679,1,0.995,0.94856,0.3143,0.20735,0.85532,0.000976293,0.000976293,0.000976293
34,44.2827,0.38728,0.2897,0.85928,0.99627,1,0.995,0.94874,0.33804,0.229,0.85746,0.000962146,0.000962146,0.000962146
35,45.3692,0.38063,0.28381,0.85845,0.99858,1,0.995,0.94832,0.30772,0.20579,0.85412,0.000947999,0.000947999,0.000947999
36,46.5017,0.37138,0.28869,0.85053,0.99756,1,0.995,0.94061,0.33869,0.20749,0.86358,0.000933851,0.000933851,0.000933851
37,47.7405,0.38089,0.2808,0.86347,0.996,1,0.995,0.95067,0.33596,0.24372,0.85358,0.000919704,0.000919704,0.000919704
38,49.1469,0.36088,0.2701,0.8492,0.99757,1,0.995,0.94534,0.31361,0.21427,0.85843,0.000905557,0.000905557,0.000905557
39,50.3689,0.37508,0.27717,0.85624,0.99713,1,0.995,0.94724,0.32125,0.21408,0.86067,0.00089141,0.00089141,0.00089141
40,51.5913,0.38058,0.27439,0.85883,0.99805,1,0.995,0.95052,0.2955,0.20574,0.84654,0.000877263,0.000877263,0.000877263
41,52.8588,0.38043,0.27239,0.8558,0.9977,1,0.995,0.95153,0.30894,0.19999,0.84803,0.000863116,0.000863116,0.000863116
