epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.62546,0.84512,2.75444,1.03402,0.01003,1,0.6425,0.52803,0.62826,2.36567,0.79929,0.00024293,0.00024293,0.00024293
2,2.75759,0.6012,1.05618,0.88684,0.99006,0.66667,0.74226,0.61003,0.66537,1.85276,0.81393,0.000498216,0.000498216,0.000498216
3,3.87565,0.56111,0.76085,0.87828,0.99924,0.63706,0.93056,0.81528,0.46233,2.05179,0.80578,0.000751512,0.000751512,0.000751512
4,5.08484,0.53634,0.73109,0.87821,0.9889,0.6541,0.94526,0.86389,0.4296,1.72332,0.81102,0.00100282,0.00100282,0.00100282
5,6.26105,0.53184,0.65915,0.87539,0.98508,0.69141,0.995,0.89838,0.46861,1.33813,0.85945,0.00125214,0.00125214,0.00125214
6,7.54889,0.4941,0.59072,0.86284,0.98431,1,0.995,0.93803,0.40848,0.98466,0.86009,0.00140137,0.00140137,0.00140137
7,8.84589,0.50402,0.57213,0.86458,0.99176,1,0.995,0.90821,0.43847,0.60579,0.8632,0.00139584,0.00139584,0.00139584
8,10.0517,0.4878,0.54738,0.87029,0.9872,1,0.995,0.91466,0.4213,0.54244,0.88562,0.00139032,0.00139032,0.00139032
9,11.4519,0.46303,0.53511,0.86833,0.9869,1,0.995,0.9314,0.40031,0.51829,0.86511,0.00138479,0.00138479,0.00138479
10,12.7029,0.48261,0.50001,0.87344,0.99208,1,0.995,0.91393,0.40648,0.48625,0.85776,0.00137926,0.00137926,0.00137926
11,14.0205,0.4731,0.49792,0.8729,0.99696,1,0.995,0.89307,0.44885,0.4383,0.88665,0.00137374,0.00137374,0.00137374
12,15.2722,0.45444,0.46266,0.87279,0.9973,1,0.995,0.91373,0.42198,0.38099,0.88461,0.00136821,0.00136821,0.00136821
13,16.6211,0.46725,0.44997,0.88053,0.99807,1,0.995,0.91256,0.41674,0.35958,0.88017,0.00136269,0.00136269,0.00136269
14,17.8488,0.45312,0.43808,0.86549,0.99844,1,0.995,0.93893,0.34326,0.32175,0.85729,0.00135716,0.00135716,0.00135716
15,19.1356,0.41895,0.40647,0.85855,0.99784,1,0.995,0.94417,0.35652,0.3122,0.86281,0.00135163,0.00135163,0.00135163
16,20.3413,0.40093,0.40247,0.85789,0.99775,1,0.995,0.93986,0.33736,0.27995,0.86736,0.00134611,0.00134611,0.00134611
17,21.7251,0.40693,0.37843,0.85506,0.99823,1,0.995,0.93279,0.3513,0.28759,0.8726,0.00134058,0.00134058,0.00134058
18,22.9633,0.42266,0.3803,0.86117,0.9963,1,0.995,0.94411,0.32907,0.28611,0.85421,0.00133505,0.00133505,0.00133505
19,24.1677,0.40752,0.36498,0.86354,0.99767,1,0.995,0.93787,0.33919,0.27769,0.85965,0.00132953,0.00132953,0.00132953
20,25.4253,0.4156,0.36004,0.86253,0.99819,1,0.995,0.94321,0.34004,0.27425,0.86262,0.001324,0.001324,0.001324
21,26.7499,0.42432,0.3596,0.86693,0.99836,1,0.995,0.94368,0.32665,0.28343,0.85873,0.00131848,0.00131848,0.00131848
22,27.9741,0.39599,0.33603,0.85796,0.99757,1,0.995,0.95345,0.31112,0.24603,0.85603,0.00131295,0.00131295,0.00131295
23,29.1632,0.39323,0.32112,0.85279,0.99592,1,0.995,0.94741,0.30901,0.24506,0.85558,0.00130742,0.00130742,0.00130742
24,30.4167,0.40594,0.33536,0.86287,0.99687,1,0.995,0.94338,0.31679,0.24258,0.85429,0.0013019,0.0013019,0.0013019
25,31.7623,0.38803,0.32018,0.84991,0.99738,1,0.995,0.94282,0.33575,0.2336,0.85827,0.00129637,0.00129637,0.00129637
26,33.0253,0.3919,0.31949,0.85938,0.99796,1,0.995,0.94738,0.33458,0.24065,0.85569,0.00129084,0.00129084,0.00129084
27,34.2084,0.39702,0.31473,0.86264,0.99744,1,0.995,0.94963,0.33314,0.23459,0.86443,0.00128532,0.00128532,0.00128532
28,35.4458,0.39978,0.31579,0.86237,0.99753,1,0.995,0.9511,0.32219,0.23471,0.85797,0.00127979,0.00127979,0.00127979
29,36.7664,0.38501,0.30129,0.85111,0.99528,1,0.995,0.9434,0.33702,0.23866,0.86203,0.00127427,0.00127427,0.00127427
30,38.0071,0.40948,0.31765,0.87485,0.99775,1,0.995,0.95435,0.31481,0.20838,0.85717,0.00126874,0.00126874,0.00126874
31,39.2661,0.41582,0.30527,0.8638,0.99699,1,0.995,0.94247,0.36753,0.24199,0.86576,0.00126321,0.00126321,0.00126321
32,40.4759,0.3966,0.29359,0.87257,0.99779,1,0.995,0.94787,0.33042,0.22872,0.85473,0.00125769,0.00125769,0.00125769
33,41.8085,0.40246,0.29627,0.86636,0.99851,1,0.995,0.95328,0.31508,0.21335,0.85465,0.00125216,0.00125216,0.00125216
34,42.9971,0.3967,0.29563,0.86108,0.99588,1,0.995,0.9499,0.32201,0.24332,0.85134,0.00124664,0.00124664,0.00124664
35,44.284,0.37782,0.28658,0.85744,0.9983,1,0.995,0.9551,0.29914,0.20868,0.85075,0.00124111,0.00124111,0.00124111
36,45.5411,0.38814,0.29151,0.85326,0.99777,1,0.995,0.94401,0.32251,0.22668,0.85432,0.00123558,0.00123558,0.00123558
37,46.8962,0.385,0.28149,0.86381,0.99811,1,0.995,0.94931,0.32438,0.21621,0.85395,0.00123006,0.00123006,0.00123006
38,48.0992,0.37022,0.26694,0.85261,0.99831,1,0.995,0.9507,0.33514,0.20272,0.86601,0.00122453,0.00122453,0.00122453
39,49.3009,0.39047,0.27391,0.86029,0.99806,1,0.995,0.94172,0.35495,0.22721,0.87256,0.001219,0.001219,0.001219
40,50.5043,0.39679,0.2851,0.86155,0.99472,1,0.995,0.95159,0.31679,0.21853,0.85453,0.00121348,0.00121348,0.00121348
41,51.9212,0.38476,0.26999,0.85681,0.9964,1,0.995,0.95433,0.30355,0.2024,0.85211,0.00120795,0.00120795,0.00120795
42,53.1456,0.3827,0.27095,0.86411,0.99811,1,0.995,0.95648,0.32102,0.21606,0.85157,0.00120243,0.00120243,0.00120243
43,54.3921,0.36042,0.2584,0.84876,0.99642,1,0.995,0.95691,0.31047,0.2017,0.85071,0.0011969,0.0011969,0.0011969
44,55.6069,0.37562,0.25704,0.86137,0.9969,1,0.995,0.95173,0.32866,0.20993,0.85291,0.00119137,0.00119137,0.00119137
45,56.9626,0.38657,0.26731,0.86782,0.99832,1,0.995,0.95463,0.31938,0.19445,0.85591,0.00118585,0.00118585,0.00118585
46,58.0722,0.37121,0.26089,0.85187,0.99564,1,0.995,0.95351,0.32023,0.1939,0.85253,0.00118032,0.00118032,0.00118032
47,59.2928,0.35624,0.25767,0.84677,0.99233,1,0.995,0.95214,0.33749,0.24538,0.86598,0.00117479,0.00117479,0.00117479
48,60.5414,0.36636,0.25614,0.8625,0.99683,1,0.995,0.95153,0.3095,0.20507,0.85325,0.00116927,0.00116927,0.00116927
49,61.8652,0.36034,0.25829,0.84879,0.99837,1,0.995,0.9495,0.34747,0.20903,0.86828,0.00116374,0.00116374,0.00116374
50,63.0811,0.37472,0.2533,0.8661,0.99826,1,0.995,0.95344,0.29891,0.18918,0.85362,0.00115822,0.00115822,0.00115822
51,64.2999,0.37152,0.25482,0.85625,0.99788,1,0.995,0.95238,0.29957,0.19568,0.85103,0.00115269,0.00115269,0.00115269
52,65.5779,0.33875,0.23655,0.84943,0.99752,1,0.995,0.95122,0.30235,0.19052,0.85833,0.00114716,0.00114716,0.00114716
53,66.9014,0.3502,0.24444,0.85445,0.99682,1,0.995,0.95123,0.3222,0.19226,0.86038,0.00114164,0.00114164,0.00114164
54,68.0838,0.35169,0.24924,0.85541,0.99781,1,0.995,0.95225,0.31311,0.1942,0.8587,0.00113611,0.00113611,0.00113611
55,69.3051,0.35591,0.25029,0.86376,0.9981,1,0.995,0.94669,0.36246,0.21243,0.88047,0.00113058,0.00113058,0.00113058
56,70.527,0.35834,0.24709,0.85476,0.99776,1,0.995,0.95333,0.30272,0.17951,0.85406,0.00112506,0.00112506,0.00112506
57,71.9407,0.3481,0.2393,0.84695,0.99827,1,0.995,0.94984,0.33452,0.18334,0.86154,0.00111953,0.00111953,0.00111953
58,73.127,0.36123,0.24779,0.84746,0.99815,1,0.995,0.95207,0.33365,0.19403,0.8608,0.00111401,0.00111401,0.00111401
59,74.3451,0.36021,0.24085,0.85202,0.9967,1,0.995,0.95299,0.30869,0.18436,0.85677,0.00110848,0.00110848,0.00110848
60,75.5935,0.35688,0.23769,0.85621,0.99799,1,0.995,0.95436,0.31163,0.19118,0.85506,0.00110295,0.00110295,0.00110295
61,76.9515,0.34204,0.22958,0.8412,0.99766,1,0.995,0.95312,0.31296,0.17646,0.85575,0.00109743,0.00109743,0.00109743
62,78.0649,0.33694,0.23032,0.84216,0.99809,1,0.995,0.95493,0.29363,0.19556,0.84827,0.0010919,0.0010919,0.0010919
63,79.2801,0.34494,0.24254,0.85593,0.99471,0.99895,0.995,0.94943,0.33357,0.20173,0.86467,0.00108637,0.00108637,0.00108637
64,80.5258,0.34627,0.24184,0.84484,0.99729,1,0.995,0.94584,0.33052,0.19911,0.86811,0.00108085,0.00108085,0.00108085
65,81.8469,0.33683,0.23355,0.84742,0.99813,1,0.995,0.94947,0.31236,0.19214,0.85584,0.00107532,0.00107532,0.00107532
66,83.1542,0.34902,0.23577,0.85197,0.99696,1,0.995,0.95619,0.30899,0.18992,0.85013,0.0010698,0.0010698,0.0010698
67,84.4763,0.35035,0.23286,0.8506,0.99752,1,0.995,0.95821,0.30709,0.18098,0.85824,0.00106427,0.00106427,0.00106427
68,85.7236,0.38492,0.2448,0.86066,0.9983,1,0.995,0.95209,0.34832,0.19605,0.86933,0.00105874,0.00105874,0.00105874
69,86.9674,0.37976,0.24587,0.86208,0.99782,1,0.995,0.94868,0.34201,0.19703,0.85281,0.00105322,0.00105322,0.00105322
70,88.3649,0.34383,0.22609,0.85313,0.99749,1,0.995,0.94767,0.35603,0.18805,0.8656,0.00104769,0.00104769,0.00104769
71,89.5487,0.34539,0.22946,0.84812,0.9978,1,0.995,0.95603,0.3313,0.18586,0.8604,0.00104217,0.00104217,0.00104217
72,90.8291,0.33926,0.22598,0.84709,0.99777,1,0.995,0.95139,0.31589,0.17596,0.8585,0.00103664,0.00103664,0.00103664
73,92.0177,0.34644,0.2236,0.83852,0.99808,1,0.995,0.96257,0.29944,0.17352,0.85226,0.00103111,0.00103111,0.00103111
74,93.3378,0.3566,0.22715,0.85899,0.99821,1,0.995,0.9494,0.33049,0.18535,0.85912,0.00102559,0.00102559,0.00102559
75,94.5256,0.34188,0.22467,0.84758,0.99855,1,0.995,0.95752,0.29681,0.17174,0.85355,0.00102006,0.00102006,0.00102006
76,95.748,0.34349,0.22432,0.85623,0.99836,1,0.995,0.95756,0.29479,0.17005,0.84334,0.00101453,0.00101453,0.00101453
77,96.9736,0.32407,0.2132,0.84336,0.99827,1,0.995,0.95507,0.293,0.17634,0.84528,0.00100901,0.00100901,0.00100901
